;idx;Masked_sentence;Right_answer;Wrong_answer;CatBoostFeatDrop Too good;CatBoostFeatDrop Too bad;CatBoostFeatDrop Appropriate;CatBoostVecsOnly Too good;CatBoostVecsOnly Too bad;CatBoostVecsOnly Appropriate;RandomForestFreqsOnly Too good;RandomForestFreqsOnly Too bad;RandomForestFreqsOnly Appropriate;XGBAllFeats Too good;XGBAllFeats Too bad;XGBAllFeats Appropriate
21;73501; Small companies often produce interesting goods, which have some features or are connected with local traditions. For example producers of clothing in Asian countries always make items which bring the atmosphere of the region and many people [MASK] to these countries in order to buy these goods. Indian shops are the typical example of such goods.;come;rise;['go'];['rise', 'gone'];[];['go'];['rise', 'gone'];[];['go'];['rise', 'gone'];['get'];['go'];['gone'];['get']
22;117358; And it is very important to help such countries, as these countries may provide help with some goods that are not produced in many regions. Also, such help may increase the status of the country on the international stage, as it will [MASK] the wealth of a country so that it can compete with others. In addition, a lot of countries earn most of their money from export.;demonstrate;show;['emphasize'];['characterize'];['illustrate', 'show'];[];['explain'];['exemplify', 'illustrate', 'show'];['emphasize'];['characterize'];['exemplify', 'show'];[];['characterize'];['exemplify', 'illustrate', 'show']
23;144854;Nowadays there appear more and more people who have their own point of view about all what happen with them or in the whole world. This people often have creative ideas and they want to [MASK] them. Sometimes these ideas are not normal for other people.;express;show;['convey'];['connect', 'provide'];['show'];['convey'];['engender', 'connect', 'provide'];[];['convey'];['provide', 'train'];['show'];['convey'];['connect', 'provide'];['show']
24;162996; By 2050, In Yemen and Italy the number of young people will reduce. In Yemen, children [MASK] a half of the population, while Italian young people comprise only 14,3% in 2000. Italian employees comprise more than 60%, while the number of workers in Yemen is less than a half of the whole percentage in 2000.;comprise;consist;['constitute'];['contain'];['encompass', 'consist'];[];['belong', 'correspond'];['include', 'consist'];['constitute'];['contain'];['encompass', 'consist'];[];[];['include', 'consist', 'involve', 'incorporate']
25;83857; For example, there are strange sculptures and pictures on walls of houses which pedestrians do not like. Because of that [MASK] will have a bad mood and live not as long as they have to. To some up, there are different opinions about artists' freedom to express their ideas.;people;persons;[];[];['ones', 'humans', 'men', 'persons'];[];[];['ones', 'humans', 'men', 'persons'];['individuals'];[];['humans', 'men', 'persons'];[];[];['ones', 'humans', 'men', 'persons']
26;64171; Both tables show a great difference in numbers of male and female workers in three employment sectors. Moreover, the numbers gave an image of genders' preferences of type of work in countries with dissimilar levels of [MASK] development and cultural background. To start with, the number of people involved in every sphere differed from one country to another.;economic;economical;[];['geopolitical'];['economical', 'financial', 'economy'];[];['geopolitical'];['economical', 'financial', 'economy'];[];['ecological'];['economical', 'financial', 'economy'];[];['geopolitical'];['economical', 'financial', 'economy']
27;72719; In the chart this type always has the second place in the numbers of calls. The number of mobile calls increased to about 10 times as many during the period of [MASK]. In 2002 this type of calls reached the level of international calls in 1996, 40 billion.;observation;chart;[];['observer', 'sighting'];['discussion', 'reconnaissance'];[];['observer', 'illumination'];['discussion', 'reconnaissance'];[];['observer'];['lookout', 'discussion'];[];['observer'];['lookout', 'discussion', 'reconnaissance']
28;95508; In winter months the temperature is usually about 35-40 degrees below zero. Then it starts to rise and reaches its [MASK] in July. When it is 10°C in colder years and 20°C in warmer ones.;peak;boom;[];['high'];['pick', 'hit', 'boom'];[];['high'];['pick', 'hit', 'boom'];['maximum'];['high'];['pick', 'hit'];[];['high'];['pick', 'hit', 'boom']
29;53309; Eastern European countries find it better to transport food products by road. In both charts the [MASK] of chemicals is quite low, about 11% and 16%. To sum up, countries of Eastern Europe prefer to transport huge equipment by rail and, when there is an opportunity, to transport not very large things by road.;percentage;amount;[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity']
30;51255; For example, some sports clubs have a huge community of fans all over the world. Thats why, it is easier to connect for people from [MASK] countries, which is really good. Thirdly, watching sports is simply a very interesting entertainment.;different;other;['various'];['distinctive', 'particular', 'difficult'];[];['various'];['distinct', 'distinctive'];['varying'];[];['certain', 'similar', 'particular', 'difficult'];[];['various'];['distinctive', 'opposite', 'difficult'];[]
31;104446; The problem of unemployment is widespread and really serious, as it causes low level of life, poor economic situation in regions and, for example, the increase of crimes. All these social [MASK] are very unpleasant, and all governments all over the world try to solve such problems. The highest rate of unemployment in 2014 and 2015 was situated in North Africa and the Middle East.;problems;illnesses;['challenges', 'difficulties', 'troubles', 'issues'];[];[];['difficulties', 'troubles', 'issues'];['obstacles'];[];['difficulties'];['obstacles'];['illnesses', 'diseases'];['challenges', 'troubles'];['obstacles'];['illnesses']
32;81630; And this essay will argue that the drawbacks of this process outweigh the advantages. The main reason for a negative influence on small [MASK] consists of many factors. Firstly, these tiny companies lose their earnings due to displacements from the market, so workers in this place lose their jobs too.;jobs;works;[];['employees', 'wages'];['employments', 'works'];[];['employees'];['employments', 'works', 'occupations'];[];['employees', 'businesses', 'wages'];['works'];[];['employees', 'wages'];['works', 'occupations']
33;119391; The experience of Starbucks is an excellent example of this. Almost every country has a great [MASK] of Starbucks coffee shops, as this company has an excellent reputation, tasty products and a huge target market. Due to this, the profit of this multinational company is counted in billions and comparing it with any other local business, the Government will choose Starbucks for sure, as it is always up-to-date.;number;amount;[];['value'];['quantity', 'count', 'amount'];[];['value'];['quantity', 'amount', 'multitude'];[];['level'];['quantity', 'amount', 'part'];[];['value', 'level'];['quantity', 'amount']
34;134577; A gradual difference was between the proportion of manufactured goods transported by road and by rail. This [MASK] changed on 3% and was higher in the road chart. Also, in this chart chemical goods had 2 times less than manufactured goods, and had 16%, while in the rail chart this figure was 11%.;percentage;data;[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity'];[];[];['percent', 'number', 'amount', 'quantity']
35;58525; For instance, watching the match at the stadium strengthens the team spirit of the fans and helps them to be united in the future. Secondly, [MASK] TV at home can help a person to relax after work. For example, after spending one hour in front of the TV, a person can forget about all the work routine and feel like a part of any sports team for a moment.;watching;looking for;[];['enjoying', 'talking', 'speculating'];['seeing'];[];['enjoying', 'talking', 'speculating'];['seeing'];[];['chatting', 'enjoying', 'speculating'];['observing'];[];['enjoying', 'talking', 'speculating'];['seeing']
36;104023; Moreover, the total worldwide rate also did not change (5,9 per cent for both years). Speaking about changes, it is [MASK] to admit that in the Middle East and in Latin America the level of unemployment was higher in 2014 that in 2015 (11 per cent vs 9,6 per cent in the Middle East and 6,8 per cent vs 5,8 per cent in Latin America). Also, we can admit that in the European Union the unemployment rate was higher by 0,4 per cent in 2015 than in 2014 (7,5 per cent in 2014 vs 7,9 per cent in 2015).;safe;possible;[];['safety', 'sedate', 'comfortable'];['possible'];[];['convenient', 'sedate', 'comfortable'];['possible'];[];['convenient', 'safety', 'sedate'];['secure'];[];['safety', 'sedate', 'comfortable'];['possible']
37;47846; On the other hand, there are conclusive examples of countries which have no capability to manage occuring problems on their own. This [MASK] mostly concerns countries of the Third World with unsustainable economic systems — therefore, they find it hard to cope with emergency situations. Various earthquakes in Nepal, which caused numerous casualties and fatalities, can be an example.;assumption;proposal;['presumption', 'assertion'];[];['notion', 'proposal'];['presumption', 'assertion'];[];['notion', 'proposal'];['presumption', 'assertion'];[];['notion', 'proposal'];['presumption', 'assertion'];[];['notion', 'proposal']
38;137728; The lower bar chart represents the reasons for using Facebook (Sharing photos/videos, receiving updates, seeing funny posts, learning about ways to help others) compared between men and women. With regard to the first chart, it shows that a significant [MASK] of people who have used Facebook prefered the desktop version of the website over the period given. The number of desktop users was around 150 million and 140 million compared with 60 million and 100 million of mobile users in the March 2012 and March 2013 respectively.;proportion;part;['fraction'];[];['quantity', 'amount', 'percentage'];[];[];['quantity', 'amount'];[];['level', 'rate'];['amount', 'percentage'];[];['level'];['quantity', 'amount', 'percentage']
39;87222; It was 3,9% while the Middle East showed 11% rate of unemployment , which was higher than in the EU and Latin America in 2014. They showed 7,5% and 6,8% [MASK]. The chart clearly shows that many regions remained at the same level of unemployment in 2015.;respectively;accordingly;[];['consequently'];['accordingly', 'correspondingly', 'relatively'];[];['consequently', 'adequately'];['accordingly', 'relatively'];[];['consequently', 'between', 'again', 'thus'];[];[];['consequently', 'particularly'];['accordingly', 'relatively']
40;151707; Manufactured goods take one quarter of the pie chart. The second chart [MASK] that food products and manufactured goods are the most popular goods transported by road. However, food products have the largest proportion (30%).;shows;represent;['demonstrates', 'illustrates'];['gives'];['pictures'];[];['gives'];['pictures', 'displays', 'presents'];['illustrates'];['gives'];['pictures', 'displays'];['illustrates'];['gives'];['pictures', 'presents']
41;150385; If a person hasn't opportunities of legal working or playing, he starts seeking alternative variants, for example, some criminal structures. In this case difficult economic conditions lead to increasing number of young adults joined in criminal structures and lack of special places for walking, playing leads to a big percentage of children who start communicating with [MASK]. For solving this problem government, parents and teachers must act.;criminals;crimes;['gangsters'];['murderers', 'thieves'];['crimes'];['gangsters'];['murderers', 'prisoners'];['crimes'];['gangsters'];['murderers', 'thieves'];['crimes'];['gangsters', 'delinquents'];['murderers'];['crimes']
42;101353; Firstly, nowadays almost all teenagers use social networks that are full of violence and cruelty. There are a lot of people in the internet who try to bring children to illegal groups who [MASK] crimes every day. Young people are very sensitive and easily manipulated which leads to them joining these groups.;commit;make;[];['rob', 'molest', 'confess'];['make'];[];['kill', 'betray', 'confess'];['make'];[];['prosecute', 'punish', 'kill'];['make'];[];['punish', 'kill', 'retaliate'];['make']
43;142476;The bar chart illustrates the quantity of children of both genders that a lack of an access to primary education in 2000 and 2012 in Africa, South Asia and in the rest of the world. The amount of children without access to primary education in Africa in 2000 [MASK] an upward trend with as many as 23.7 million of girls and 20 million of boys.;showed;was;['experienced', 'demonstrated', 'saw'];[];['started'];['revealed', 'experienced', 'saw'];[];['noticed'];['followed', 'experienced', 'demonstrated', 'saw'];[];[];['followed', 'experienced', 'saw'];[];['started']
44;69141; The oldest category, 65+, are not so common in using networks: they have the lowest percentage for all three types of them. However, LinkedIn is not popular among the youngest people [MASK]. Similar to the people aged 65+, only 22% of people aged 18-29 use it.;either;too;[];['or', 'and/or'];['too', 'also'];[];['or', 'and/or'];['too', 'also'];[];['or', 'and/or'];['too', 'also'];[];['and/or', 'rather'];['too', 'also']
45;164344; The youngest one is Los Angeles's underground, but it's already bigger than Kyoto's, which was opened twenty years before. As I have already said, Tokyo's underground has more passengers than any other one that listed, but it's not the biggest It's 44 kilometres shorter than in Paris and almost twice [MASK] than London's. It's also obvious that the only subway that was opened in this century is Los Angeles's one.;shorter;smaller;[];['thinner', 'narrower', 'thicker'];['smaller'];[];['thinner', 'longer', 'narrower'];['smaller'];[];['thinner', 'narrower', 'thicker'];['smaller'];[];['thinner', 'narrower', 'thicker'];['smaller']
46;40649; However, many people think that, in terms of global economics, multinational companies have become substitutes for local markets and small businesses , and I agree with their position. First of all, this essay will discuss the benefits and disadvantages of [MASK] consequences of the process of globalization such as a large variety of products and services' choice for consumers and the tendency to disrupt the business processes of local small businesses and individual entrepreneurs respectively. On the one hand, it is argued that multinationals affect small local businesses and, particularly, individual entrepreneurs destructively.;economic;economical;[];['geopolitical', 'societal', 'ecological'];['economical'];[];['geopolitical', 'socioeconomic'];['economical', 'economy'];[];['ecological'];['economical', 'financial', 'economy'];[];['geopolitical'];['economical', 'financial', 'economy']
47;74783;Science plays a paramount role in our today's world. A lot of scientific [MASK] and discoveries are conducted every year. Nowadays more and more private companies participate in scientific sphere, they carry out as well as pay for more researches that governments do.;researches;researchers;['studies'];['researchers'];['analyses', 'investigations'];['studies'];['researchers'];['analyses', 'investigations'];['studies'];['researchers'];['analyses', 'investigations'];['studies'];['researchers'];['analyses', 'investigations']
48;86582;The graph illustrates the percentage of post-school qualifications and the difference between the percentage of men and women in 1999. We can see that the largest percentage among [MASK] was that of specialists with skilled vocational diploma. It was higher than 90%.;men;males;[];[];['males'];[];['officers', 'sailors', 'seamen'];['males'];[];['makes', 'girls', 'boys'];[];[];[];['males']
49;48139; Last one shows that in the sphere of Services there are 56% of male workers and there are 49% of female workers. The second table shows the data about employment by gender in Australia where females prefer to work in Services (the [MASK] is 88%) and male workers are mostly involved with Industry and Services. Overall, we can summarize the information in the tables.;figure;index;[];[];['quantity', 'amount', 'number'];[];['personage'];['quantity', 'amount', 'number'];[];['example'];['quantity', 'level', 'number'];[];[];['quantity', 'amount', 'number']
50;75292; This means that the government also shouldn't influence the artists' way of life in such a way as ideological restrictions. On the other hand, artists are also citizens of a [MASK] country. It is clear that they , as everyone in this country, should have some political duties like taxing and so on.;specific;concrete;['particular', 'certain'];['relevant'];['concrete'];['particular', 'certain'];['relevant'];['concrete'];['particular', 'certain'];['common'];['concrete'];['particular', 'certain'];['relevant'];['concrete']
51;53275; They do many wild things and risk their lives. many people have headaches because they often use their phones for listening to music, when this music is very loud, people do not stop music and [MASK] they have headaches. In future we must spend a lot of time in our phones, TV, netbooks, and we will not have many problems with health, I hope.;then;next;[];['than', 'now', 'that'];['after'];['subsequently'];['than', 'that'];['after'];[];['than', 'that'];['after', 'next'];[];['than', 'now', 'that'];['after']
52;101634; Furthermore, the consolidation might not have a positive effect on professional development because of the lack of correlation between the gender and the profession. Secondly, it is hard to imagine how universities would compel [MASK] to choose a particular subject. We must not overestimate the genuine idea of education.;applicants;alumni;[];[];['graduates', 'registrants', 'alumni', 'participants'];['students'];[];['graduates', 'registrants', 'alumni'];['students'];[];['graduates', 'registrants', 'alumni'];['students'];[];['graduates', 'alumni', 'participants']
53;65050; In this way, I would like to say that in our modern society and world people should respect each other and their work. One [MASK] to express our feelings is to pay some amount of money as gratitude and help in future development. Buying illegal pirate copies we encourage those who are criminals , and with these actions we make our society more vicious and give an awful example to our children and descendants.;way;the;[];['source', 'path', 'king'];['form'];[];['source', 'path'];['approach', 'manner'];[];['source', 'measure', 'road'];['approach'];[];['kind'];['approach', 'manner', 'form']
54;102660; This essay will discuss both points of view. To begin with, some [MASK] allege that family has an immensely big impact on how a child grows. All the patterns and the outlook on life are taken by a baby from his family, and he acts alike his or her parents.;people;humankinds;[];['men'];['ones', 'humans', 'persons'];[];['men'];['humans', 'individuals', 'persons'];[];['men'];['humans', 'individuals', 'persons'];[];['men'];['ones', 'humans', 'persons']
55;99534; But in Sweden the constant growth is predicted to continue , and at the end of the observation period there are going to be more people aged 65 and over than in the USA. However, Japan has its own changes in the proportion of population aged 65 and over. In Japan this index was approximately 5% in 1940, then it [MASK] down. But it began to grow in 2000s and is expected to continue till the end of the period.;fell;felt;[];['fall'];['jumped', 'slipped', 'felt'];[];['fall'];['jumped', 'dropped', 'felt'];['slumped'];['fall'];['jumped', 'felt'];[];[];['jumped', 'slipped', 'surged', 'felt']
56;71531; On the other hand, things which happen outside play a huge role in the child's future life. For instance, all children study at school where they [MASK] knowledge in different spheres of life , and after that they learn how to use it in real life. Moreover, they communicate with their peers and try to solve some issues with them alone, making some immensely prominent mistakes Delete which they learn.;gain;take;['garner'];['gaining'];['get', 'take'];['obtain'];['gaining'];['get', 'take'];['garner'];['gaining'];['get', 'take'];[];[];['get', 'take', 'earn', 'attain']
57;158203; Secondly, in Australia the services sector is represented by female workers accounting for 88%, which is the highest figure in both tables. However, in the industrial sector male employees are predominant and [MASK] 32%. In the agriculture sector men and women account for 3% and 1%.;constitute;take;['comprise'];['illustrate'];['contain', 'take'];['comprise'];['belong', 'illustrate'];['take'];[];['belong', 'consist'];['contain', 'take'];['comprise'];['belong', 'illustrate'];['take']
58;82145; It is caused by illegal pirate copies. People who [MASK] music or films from the Internet, from pirates resources should be punished, instead a human who bougth the original version of entertainment. Is that right?;steal;theft;['retrieve'];[];['rob', 'grab', 'bring'];['retrieve'];['save', 'destroy'];['bring'];['retrieve'];['destroy'];['rob', 'grab'];[];[];['bring', 'recover', 'grab', 'collect']
59;163852; The biggest difference was shown in 2000 in South Asia where the number of girls without access to primary education was doubled compared to boys. Generally, African countries occupy the leading position by the [MASK] of boys and girls who were not able to get education. The most dramatic change was in South Asia where the number of children without access to primary education was reduced in three times.;number;quantity;[];['value', 'level'];['quantity', 'amount'];[];['value', 'level'];['quantity', 'amount'];[];['level'];['quantity', 'amount', 'part'];[];['level'];['quantity', 'amount', 'part']
60;160556; Firstly, this solution limits levels of discrimination. It can [MASK] the number of sexist stereotypes that chemistry or political economy are preferred mostly by male students. Secondly, this decision can help more students of both sexes to broad their minds and find interest in those subjects they didn't expect to be interesting ones.;decrease;increase;['reduce'];['increase', 'fall'];['decline'];['reduce'];['fall', 'reduction'];['decline'];['reduce'];['increase', 'fall'];['decline'];['reduce'];['increase', 'fall'];['decline']
61;154863; In today's world this law is unlikely to be followed, and it is rather upsetting. Taking everything into consideration, it can be concluded that the best way to address this issue of pirate copies is to find the middle ground between punishments and common wishes to [MASK] music and films.;enjoy;love;['appreciate'];['entertain'];['love', 'admire'];['appreciate'];['entertain'];['love', 'admire'];['appreciate'];['entertain'];['love', 'admire'];['appreciate'];['entertain'];['love', 'admire']
62;45811; To sum it all up, I still follow the idea of putting the citizens of the country on the first place by its government. Without any doubt, it is important to support other countries during an unstable period , however, governments need to nurture their own [MASK] in wealth and appropriate conditions. Otherwise, great uprisings might appear in the country because people are not pleased with what they get from the government.;citizens;people;[];['foreigners', 'consumers'];['natives', 'nationals'];[];['foreigners', 'consumers'];['natives', 'nationals'];[];['foreigners', 'diplomats'];['residents', 'persons'];[];['foreigners', 'consumers'];['natives', 'nationals']
63;148945; Overall, it can be seen that average temperatures in Russia tend to increase and fall dramatically over the year, while in Brazil they are almost consistent . To provide more detail, in Yakutsk the lowest records are [MASK] in winter and dip to -40°C. The graph reaches a peak in July (just over 20°C) and then decreases sharply. In Rio de Janeiro, by contrast, the average maximum temperatures are in winter (30°C).;registered;noticeable;[];['chartered', 'considered', 'certified'];['recognised'];[];['chartered', 'considered', 'certified'];['recognised'];[];['chartered', 'certified'];['recognised', 'listed'];[];['chartered', 'considered', 'certified'];['recognised']
64;152775; Laws and provided punishments should be used by officials against producers of pirate files. in spite of financial losses of official producers of media content, the government can [MASK] restrictions only on products of pirate information and not on users. In addition, the government may be able to find punishments and methods of pirate's identification in the future.;impose;do;['enforce', 'put', 'apply'];[];['make'];['enforce', 'put', 'apply'];[];['make'];['enforce'];['abolish'];['make', 'enact'];[];['incur', 'dictate', 'justify'];['make']
65;66435; That is why we import some food from other countries. But in Russia the situation is [MASK]. We import almost every product.;different;else;[];['difficult'];['various', 'distinctive', 'particular'];[];[];['various', 'distinctive', 'distinct', 'opposite'];[];['certain', 'similar', 'difficult'];['particular'];[];[];['various', 'distinctive', 'distinct', 'opposite']
