;Masked_sentence;Right_answer;Wrong_answer;Filename;Delete;variants;Appropriate;Too bad;Too good;Consistent;In duplicate names
37867; On the other hand, companies should not be made responsible for the decisions of their customers. It is [MASK] to claim that everyone has rights which allow them to choose their lifestyle and whether to lead a healthy way of life or not because we are all free persons. What is more, customers who are, for instance, addicted to cigarettes, might actually be interested in brand-new flavours and so on.;reasonable;true;exam/Exam2020/Task_3_Essays_1897_2839/2020_MLa_2759_2;0;['worth', 'true', 'available', 'justifiable', 'sufficient', 'adequate', 'acceptable', 'satisfactory', 'proportionate', 'prudent', 'plausible', 'appropriate', 'sensible', 'rational', 'credible', 'lawful', 'necessary', 'decent', 'practicable', 'tolerable'];['true', 'adequate', 'prudent', 'plausible', 'rational', 'credible'];['worth', 'available', 'sufficient', 'acceptable', 'satisfactory', 'proportionate', 'lawful', 'necessary', 'decent', 'practicable', 'tolerable'];['justifiable', 'appropriate', 'sensible'];True;False
51411; However, there was an increase in the percentages of boys and girls who maintained physical acivities regularly. The percentage of boys who did exercises remained [MASK] than that of girls . The percentages of both boys and girls went up slightly.;higher;bigger;exam/Old_Exam2019/2019_ABu_44_1;0;['bigger', 'more', 'upper', 'lower', 'greater', 'poorer', 'steeper', 'weaker', 'larger', 'less', 'stronger', 'smaller', 'faster', 'lesser', 'narrower', 'thicker', 'richer', 'slower', 'thinner', 'shallower'];['bigger', 'more', 'upper'];['lower', 'poorer', 'steeper', 'weaker', 'less', 'stronger', 'smaller', 'faster', 'lesser', 'narrower', 'thicker', 'richer', 'slower', 'thinner', 'shallower'];['greater', 'larger'];True;False
73260; According to the statistics, nowadays 30-35% of family's income is spent on education of children. What is more, many parents consider that it is more productive and useful for their child [MASK] different sport clubs or art and drama schools. That is why parents try to involve their child in every activities.;attending;visiting;exam/Exam2016/2016_OR_121_2;0;['visiting', 'enrolling', 'graduating', 'studying', 'participating', 'practicing', 'lecturing', 'pursuing', 'practising', 'joining', 'watching', 'travelling', 'returning', 'taking', 'accepting', 'entering', 'partaking', 'witnessing', 'volunteering', 'completing'];['visiting', 'enrolling', 'graduating', 'practicing', 'pursuing', 'practising', 'taking', 'completing'];['studying', 'participating', 'lecturing', 'watching', 'travelling', 'returning', 'accepting', 'partaking', 'witnessing', 'volunteering'];['joining', 'entering'];True;False
75261; Overall, it is crucially important that the number of children without access to primary education was decreasing over the years under observation. However, Africa in 2012 still had the biggest [MASK], which was equal to the number of children in South Asia in 2000. However, the main trend was positive.;number;amount;exam/best_works/26_1;0;['amount', 'quantity', 'level', 'part', 'value', 'member', 'count', 'rate', 'proportion', 'mark', 'category', 'portion', 'quality', 'mount', 'population', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad'];['amount', 'quantity', 'count', 'rate', 'proportion', 'portion', 'multitude'];['level', 'part', 'value', 'member', 'mark', 'category', 'quality', 'mount', 'population', 'handful', 'variety', 'multiplicity', 'myriad'];[];True;False
147504; However, those who deny these obvious facts mark the social reasons why the number of male and female accepted has to be equal. One of the most significant of them is that it is much easier to create a family when there is an equal number of male and female students in one [MASK]. In my opinion, the university is not the only place to meet your boy or girlfriend, hence, I find this argument not very convincing.;field;destination;exam/Exam2014/2014_ASt_11_2;0;['sphere', 'destination', 'fields', 'turf', 'goal', 'kicking', 'yard', 'psychology', 'pitch', 'discipline', 'scoreboard', 'optics', 'sideline', 'specialist', 'outfield', 'track', 'electrodynamics', 'astrophysics', 'ball', 'pioneer'];['destination', 'track'];['fields', 'turf', 'goal', 'kicking', 'yard', 'psychology', 'pitch', 'scoreboard', 'optics', 'sideline', 'specialist', 'outfield', 'electrodynamics', 'astrophysics', 'ball', 'pioneer'];['sphere', 'discipline'];True;False
139612; In the first diagram I can see that the metals were the most popular goods transported by rail, whereas in the second diagram I can see that food products were transported by road more often than other types of goods. The [MASK] percentage in the first diagram is attributed to chemicals, whereas in the second diagram we can see that machinery occupied this position. Manufactured goods do not have completely the same percentage on both diagrams.;lowest;least;exam/Exam2017/ESa_1-69/2017_ESa_19_1;0;['smallest', 'highest', 'worst', 'slowest', 'weakest', 'coldest', 'strongest', 'heaviest', 'poorest', 'widest', 'densest', 'thickest', 'greatest', 'shortest', 'largest', 'deepest', 'farthest', 'steepest', 'hottest', 'biggest'];['weakest', 'poorest'];['highest', 'worst', 'slowest', 'coldest', 'strongest', 'heaviest', 'widest', 'densest', 'thickest', 'greatest', 'shortest', 'largest', 'deepest', 'farthest', 'steepest', 'hottest', 'biggest'];['smallest'];True;False
70105; To begin with, the average temperature in Yakutsk in January is about - 36°, and it is a peak. By the way, the minimum rate is approximately the same and [MASK] - 40°. As for Rio de Janeiro, the gap between statistics is more marked and remains constant – the difference is about 8°.;constitutes;consists;exam/practice_AZa/AZa_23_1;0;['consists', 'ranges', 'contains', 'encompasses', 'represents', 'defines', 'comprises', 'entails', 'includes', 'generates', 'occupies', 'makes', 'involves', 'underlies', 'affects', 'corresponds', 'contributes', 'imposes', 'distinguishes', 'specifies'];['consists', 'contains', 'encompasses', 'represents', 'defines', 'comprises', 'includes', 'involves'];['ranges', 'entails', 'generates', 'occupies', 'makes', 'underlies', 'affects', 'corresponds', 'contributes', 'imposes', 'distinguishes', 'specifies'];[];True;False
166891;The bar chart shows changes in the number of children without access to primary school education by gender and region from 2000 to 2012. It is clearly seen that the number of children without access to education [MASK] decreased. The most affected by the global development region was South Asia.;generally;commonly;exam/Exam2016/2016_ZEv_20_1;0;['commonly', 'usually', 'typically', 'mostly', 'often', 'normally', 'broadly', 'traditionally', 'universally', 'largely', 'strictly', 'characteristically', 'oftentimes', 'moderately', 'rarely', 'uniformly', 'invariably', 'predominantly', 'sometimes', 'somewhat'];['commonly', 'broadly'];['usually', 'typically', 'often', 'normally', 'traditionally', 'strictly', 'characteristically', 'oftentimes', 'moderately', 'rarely', 'sometimes', 'somewhat'];['mostly', 'universally', 'largely', 'uniformly', 'invariably', 'predominantly'];True;False
163703; For example, Starbucks Company, which is a multinational coffee shop chain, is hiring many locals in Africa and this results in the decline of the unemployment rate from 12% to 9%. It is essential to [MASK] that plenty of small coffee shops are also being opened. However, the employment numbers were too small to influence the unemployment rate.;note;notice;exam/Exam2020/Task_2_Essays_919_1896/2020_MLa_1314_2;0;['notice', 'admit', 'spot', 'tell', 'quote', 'letter', 'quotation', 'remark', 'comment', 'compliment', 'statement', 'caveat', 'hint', 'message', 'reply', 'cite', 'postscript', 'telegram', 'suggest', 'suggestion'];['notice', 'tell', 'comment'];['spot', 'quote', 'letter', 'quotation', 'compliment', 'statement', 'caveat', 'hint', 'message', 'reply', 'cite', 'postscript', 'telegram', 'suggest', 'suggestion'];['admit', 'remark'];True;False
136326;Modern countries produce a lot of food for their citizens or for export and it is no news. I totally agree that a country should not import from other countries or import in little quantities , and there are some [MASK] for this point of view. Firstly, if a country produces its own food, has farms and develops meat and vegetable production, it will depend on the economic base of itself.;arguments;reasons;exam/Exam2017/ESa_1-69/2017_ESa_60_2;0;['reasons', 'minds', 'ideas', 'assertions', 'statements', 'contentions', 'criticisms', 'conclusions', 'judgements', 'opinions', 'objections', 'judgments', 'hypotheses', 'justifications', 'explanations', 'pronouncements', 'presumptions', 'assumptions', 'rulings', 'propositions'];['reasons', 'explanations'];['minds', 'ideas', 'assertions', 'statements', 'contentions', 'criticisms', 'conclusions', 'judgements', 'opinions', 'objections', 'judgments', 'hypotheses', 'pronouncements', 'presumptions', 'assumptions', 'rulings', 'propositions'];['justifications'];True;False
112011; Facebook, Instagram and Linkedin are among these networks. First two [MASK] (Facebook and Instagram) are showing downward slopping trend. The percentage of young men and women differs significantly from that of aged people.;sites;parts;exam/Exam2017/DOv/2017_DOv_31_1;0;['parts', 'nets', 'locations', 'areas', 'structures', 'monuments', 'places', 'regions', 'complexes', 'campsites', 'attractions', 'mounds', 'caves', 'museums', 'temples', 'centers', 'buildings', 'communities', 'settlements', 'facilities'];['parts', 'nets', 'structures', 'communities', 'facilities'];['locations', 'areas', 'monuments', 'places', 'regions', 'complexes', 'campsites', 'attractions', 'mounds', 'caves', 'museums', 'temples', 'centers', 'buildings', 'settlements'];[];True;False
73501; Small companies often produce interesting goods, which have some features or are connected with local traditions. For example producers of clothing in Asian countries always make items which bring the atmosphere of the region and many people [MASK] to these countries in order to buy these goods. Indian shops are the typical example of such goods.;come;rise;exam/Exam2020/Task_2_Essays_919_1896/2020_MLa_1234_2;0;['go', 'rise', 'gone', 'get', 'expect', 'gotten', 'brought', 'emerge', 'want', 'send', 'find', 'invite', 'seek', 'tell', 'take', 'arisen', 'wander', 'hear', 'happen', 'dare'];['get', 'wander'];['rise', 'gone', 'expect', 'gotten', 'brought', 'emerge', 'want', 'send', 'find', 'invite', 'seek', 'tell', 'take', 'arisen', 'hear', 'happen', 'dare'];['go'];True;False
117358; And it is very important to help such countries, as these countries may provide help with some goods that are not produced in many regions. Also, such help may increase the status of the country on the international stage, as it will [MASK] the wealth of a country so that it can compete with others. In addition, a lot of countries earn most of their money from export.;demonstrate;show;exam/Exam2017/ESa_1-69/2017_ESa_66_2;0;['show', 'emphasize', 'illustrate', 'characterize', 'exemplify', 'validate', 'prove', 'assess', 'evaluate', 'explain', 'embody', 'verify', 'enhance', 'ensure', 'ascertain', 'examine', 'confirm', 'discern', 'predict', 'assert'];['show', 'illustrate', 'exemplify', 'validate', 'prove', 'verify'];['characterize', 'assess', 'evaluate', 'explain', 'embody', 'enhance', 'ensure', 'ascertain', 'examine', 'discern', 'predict', 'assert'];['emphasize', 'confirm'];True;False
144854;Nowadays there appear more and more people who have their own point of view about all what happen with them or in the whole world. This people often have creative ideas and they want to [MASK] them. Sometimes these ideas are not normal for other people.;express;show;exam/Exam2014/2014_AMe_3_2;0;['show', 'provide', 'convey', 'train', 'terminate', 'connect', 'demonstrate', 'engender', 'manifest', 'elicit', 'arouse', 'invoke', 'commuter', 'evoke', 'communicate', 'differentiate', 'reaffirm', 'passenger', 'reiterate', 'repress'];['show', 'demonstrate'];['provide', 'train', 'terminate', 'connect', 'engender', 'elicit', 'arouse', 'invoke', 'commuter', 'evoke', 'differentiate', 'reaffirm', 'passenger', 'reiterate', 'repress'];['convey', 'manifest', 'communicate'];True;False
162996; By 2050, In Yemen and Italy the number of young people will reduce. In Yemen, children [MASK] a half of the population, while Italian young people comprise only 14,3% in 2000. Italian employees comprise more than 60%, while the number of workers in Yemen is less than a half of the whole percentage in 2000.;comprise;consist;exam/Exam2014/2014_EPa_51_1;0;['consist', 'constitute', 'contain', 'encompass', 'belong', 'correspond', 'include', 'occupy', 'inhabit', 'involve', 'pertain', 'incorporate', 'contribute', 'underlie', 'represent', 'possess', 'boast', 'employ', 'relate', 'utilize'];['consist', 'encompass', 'include', 'occupy', 'involve', 'incorporate'];['contain', 'belong', 'correspond', 'inhabit', 'pertain', 'contribute', 'underlie', 'possess', 'boast', 'employ', 'relate', 'utilize'];['constitute', 'represent'];True;False
83857; For example, there are strange sculptures and pictures on walls of houses which pedestrians do not like. Because of that [MASK] will have a bad mood and live not as long as they have to. To some up, there are different opinions about artists' freedom to express their ideas.;people;persons;exam/Exam2014/2014_ASt_6_2;0;['persons', 'ones', 'humans', 'men', 'individuals', 'users', 'workers', 'citizens', 'adults', 'personalities', 'youths', 'residents', 'peoples', 'inhabitants', 'foreigners', 'villagers', 'schoolchildren', 'natives', 'civilians', 'families'];['persons', 'ones', 'humans', 'men', 'peoples', 'civilians'];['users', 'workers', 'adults', 'personalities', 'youths', 'foreigners', 'villagers', 'schoolchildren', 'natives', 'families'];['individuals', 'citizens', 'residents', 'inhabitants'];True;False
64171; Both tables show a great difference in numbers of male and female workers in three employment sectors. Moreover, the numbers gave an image of genders' preferences of type of work in countries with dissimilar levels of [MASK] development and cultural background. To start with, the number of people involved in every sphere differed from one country to another.;economic;economical;exam/Old_Exam2019/2019_ABu_145_1;0;['economical', 'economy', 'geopolitical', 'socioeconomic', 'financial', 'societal', 'ecological', 'environmental', 'political', 'monetary', 'neoliberal', 'social', 'technological', 'institutional', 'agrarian', 'agricultural', 'organizational', 'ideological', 'budgetary', 'educational'];['economical', 'economy', 'financial'];['geopolitical', 'socioeconomic', 'societal', 'ecological', 'environmental', 'political', 'monetary', 'neoliberal', 'social', 'technological', 'institutional', 'agrarian', 'agricultural', 'organizational', 'ideological', 'budgetary', 'educational'];[];True;False
72719; In the chart this type always has the second place in the numbers of calls. The number of mobile calls increased to about 10 times as many during the period of [MASK]. In 2002 this type of calls reached the level of international calls in 1996, 40 billion.;observation;chart;exam/Exam2014/2014_KKo_18_1;0;['discussion', 'observer', 'lookout', 'reconnaissance', 'sighting', 'vantage', 'measurement', 'bombardment', 'illumination', 'radar', 'discovery', 'telescope', 'monitoring', 'evaluation', 'surveillance', 'experiment', 'detection', 'searchlight', 'identification', 'experimentation'];['discussion', 'lookout', 'reconnaissance', 'measurement', 'discovery', 'evaluation', 'surveillance', 'detection'];['observer', 'sighting', 'vantage', 'bombardment', 'illumination', 'radar', 'telescope', 'experiment', 'searchlight', 'identification', 'experimentation'];['monitoring'];True;False
95508; In winter months the temperature is usually about 35-40 degrees below zero. Then it starts to rise and reaches its [MASK] in July. When it is 10°C in colder years and 20°C in warmer ones.;peak;boom;exam/Exam2017/MPa_1-103/2017_MPa_60_1;0;['pick', 'high', 'valley', 'boom', 'hit', 'maximum', 'intensity', 'zenith', 'pinnacle', 'height', 'highpoint', 'apogee', 'gust', 'summit', 'glacier', 'brightness', 'surge', 'ascent', 'amplitude', 'daytime'];['pick', 'boom', 'hit', 'zenith', 'pinnacle', 'height', 'highpoint', 'apogee', 'summit', 'amplitude'];['high', 'valley', 'intensity', 'gust', 'glacier', 'brightness', 'surge', 'ascent', 'daytime'];['maximum'];True;False
53309; Eastern European countries find it better to transport food products by road. In both charts the [MASK] of chemicals is quite low, about 11% and 16%. To sum up, countries of Eastern Europe prefer to transport huge equipment by rail and, when there is an opportunity, to transport not very large things by road.;percentage;amount;exam/Exam2017/NChe_1-17/2017_NChe_2_1;0;['percent', 'number', 'amount', 'quantity', 'part', 'point', 'proportion', 'volume', 'growth', 'level', 'date', 'portion', 'degree', 'data', 'rate', 'fraction', 'average', 'ratio', 'majority', 'margin'];['percent', 'number', 'amount', 'quantity', 'part', 'volume', 'level', 'portion', 'degree', 'rate', 'fraction', 'average', 'ratio'];['point', 'growth', 'date', 'data', 'majority', 'margin'];['proportion'];True;False
51255; For example, some sports clubs have a huge community of fans all over the world. Thats why, it is easier to connect for people from [MASK] countries, which is really good. Thirdly, watching sports is simply a very interesting entertainment.;different;other;exam/Exam2020/Task_1_Essays_1_918/2020_MLa_127_2;0;['various', 'difficult', 'distinctive', 'opposite', 'distinct', 'particular', 'varying', 'diverse', 'separate', 'disparate', 'myriad', 'certain', 'multiple', 'specific', 'similar', 'dissimilar', 'divergent', 'unique', 'complementary', 'heterogeneous'];['varying', 'myriad'];['difficult', 'distinctive', 'opposite', 'distinct', 'particular', 'separate', 'disparate', 'certain', 'specific', 'similar', 'dissimilar', 'divergent', 'unique', 'complementary', 'heterogeneous'];['various', 'diverse', 'multiple'];True;False
104446; The problem of unemployment is widespread and really serious, as it causes low level of life, poor economic situation in regions and, for example, the increase of crimes. All these social [MASK] are very unpleasant, and all governments all over the world try to solve such problems. The highest rate of unemployment in 2014 and 2015 was situated in North Africa and the Middle East.;problems;illnesses;exam/Exam2017/EKl_1-50/2017_ekl_17_1;0;['troubles', 'illnesses', 'diseases', 'obstacles', 'difficulties', 'issues', 'challenges', 'shortcomings', 'deficiencies', 'dilemmas', 'concerns', 'failures', 'complexities', 'crises', 'flaws', 'inadequacies', 'uncertainties', 'conflicts', 'setbacks', 'disadvantages'];['illnesses', 'diseases', 'shortcomings', 'deficiencies', 'failures', 'complexities', 'crises', 'flaws', 'inadequacies', 'disadvantages'];['obstacles', 'dilemmas', 'uncertainties', 'conflicts', 'setbacks'];['troubles', 'difficulties', 'issues', 'challenges', 'concerns'];True;False
81630; And this essay will argue that the drawbacks of this process outweigh the advantages. The main reason for a negative influence on small [MASK] consists of many factors. Firstly, these tiny companies lose their earnings due to displacements from the market, so workers in this place lose their jobs too.;jobs;works;exam/Exam2020/Task_2_Essays_919_1896/2020_MLa_1113_2;0;['works', 'occupations', 'employees', 'employments', 'wages', 'opportunities', 'businesses', 'laborers', 'professions', 'enterprises', 'incomes', 'employers', 'salaries', 'layoffs', 'industries', 'incentives', 'tradesmen', 'benefits', 'pensions', 'taxpayers'];['works', 'occupations', 'employments', 'professions'];['employees', 'wages', 'opportunities', 'businesses', 'laborers', 'enterprises', 'incomes', 'employers', 'salaries', 'layoffs', 'industries', 'incentives', 'tradesmen', 'benefits', 'pensions', 'taxpayers'];[];True;False
119391; The experience of Starbucks is an excellent example of this. Almost every country has a great [MASK] of Starbucks coffee shops, as this company has an excellent reputation, tasty products and a huge target market. Due to this, the profit of this multinational company is counted in billions and comparing it with any other local business, the Government will choose Starbucks for sure, as it is always up-to-date.;number;amount;exam/Exam2020/Task_2_Essays_919_1896/2020_MLa_1042_2;0;['amount', 'quantity', 'level', 'part', 'value', 'member', 'count', 'rate', 'proportion', 'mark', 'category', 'portion', 'quality', 'mount', 'population', 'multitude', 'handful', 'variety', 'multiplicity', 'myriad'];['amount', 'quantity', 'part', 'count', 'rate', 'proportion', 'portion', 'multitude'];['level', 'value', 'member', 'mark', 'category', 'quality', 'mount', 'population', 'handful', 'variety', 'multiplicity', 'myriad'];[];True;False
134577; A gradual difference was between the proportion of manufactured goods transported by road and by rail. This [MASK] changed on 3% and was higher in the road chart. Also, in this chart chemical goods had 2 times less than manufactured goods, and had 16%, while in the rail chart this figure was 11%.;percentage;data;exam/Exam2017/OBy_1-99/2017_OBy_34_1;0;['percent', 'number', 'amount', 'quantity', 'part', 'point', 'volume', 'growth', 'level', 'date', 'portion', 'degree', 'data', 'rate', 'fraction', 'average', 'ratio', 'majority', 'margin', 'turnout'];['percent', 'number', 'amount', 'quantity', 'part', 'volume', 'portion', 'data', 'rate', 'fraction', 'ratio'];['point', 'growth', 'level', 'date', 'degree', 'average', 'majority', 'margin', 'turnout'];[];True;False
58525; For instance, watching the match at the stadium strengthens the team spirit of the fans and helps them to be united in the future. Secondly, [MASK] TV at home can help a person to relax after work. For example, after spending one hour in front of the TV, a person can forget about all the work routine and feel like a part of any sports team for a moment.;watching;looking for;exam/Exam2020/Task_1_Essays_1_918/2020_MLa_165_2;0;['speculating', 'seeing', 'talking', 'enjoying', 'chatting', 'observing', 'staring', 'chasing', 'witnessing', 'viewing', 'admiring', 'watch', 'laughing', 'listening', 'crying', 'noticing', 'kissing', 'cheering', 'conversing', 'wondering'];['seeing', 'observing', 'viewing'];['speculating', 'talking', 'enjoying', 'chatting', 'staring', 'chasing', 'witnessing', 'admiring', 'watch', 'laughing', 'listening', 'crying', 'noticing', 'kissing', 'cheering', 'conversing', 'wondering'];[];True;False
104023; Moreover, the total worldwide rate also did not change (5,9 per cent for both years). Speaking about changes, it is [MASK] to admit that in the Middle East and in Latin America the level of unemployment was higher in 2014 that in 2015 (11 per cent vs 9,6 per cent in the Middle East and 6,8 per cent vs 5,8 per cent in Latin America). Also, we can admit that in the European Union the unemployment rate was higher by 0,4 per cent in 2015 than in 2014 (7,5 per cent in 2014 vs 7,9 per cent in 2015).;safe;possible;exam/Exam2017/EKl_1-50/2017_ekl_3_1;0;['safety', 'possible', 'sedate', 'comfortable', 'haven', 'secure', 'convenient', 'dangerous', 'suitable', 'healthful', 'hospitable', 'healthy', 'acceptable', 'feasible', 'easy', 'practicable', 'preferable', 'conducive', 'adequate', 'vulnerable'];['possible', 'secure', 'easy', 'practicable'];['safety', 'sedate', 'comfortable', 'haven', 'convenient', 'dangerous', 'suitable', 'healthful', 'hospitable', 'healthy', 'acceptable', 'preferable', 'conducive', 'adequate', 'vulnerable'];['feasible'];True;False
