,index,Model,Setting,Dropped feature,F1-Score,Accuracy,Precision,Recall
132,55,Gradient Boosting,,Frequency of Ans in the whole corpus,0.68,0.7,0.68,0.7
133,54,K-Nearest Neighbors (K=1),,Word2Vec vector of Ans,0.68,0.7,0.68,0.7
134,53,K-Nearest Neighbors (K=1),,Word2Vec vector of d,0.68,0.7,0.68,0.7
135,52,K-Nearest Neighbors (K=1),,Frequency of d misuses instead of Ans in corpus,0.68,0.7,0.68,0.7
136,58,K-Nearest Neighbors (K=5),,Word2Vec vector of Ans,0.68,0.68,0.65,0.71
137,74,K-Nearest Neighbors (K=5),,Averaged BERT vector of S with gap replaced by Ans,0.67,0.68,0.65,0.7
138,77,AdaBoost,,Averaged BERT vector of S with gap replaced by Ans,0.67,0.69,0.68,0.66
139,76,Logistic Regression,,Frequency of d in the whole corpus,0.67,0.67,0.64,0.69
140,75,K-Nearest Neighbors (K=3),,BERT vector of [MASK] token in place of the error span,0.67,0.68,0.66,0.69
141,71,K-Nearest Neighbors (K=1),,Frequency of d in the whole corpus,0.67,0.69,0.68,0.66
142,73,AdaBoost,,Frequency of Ans in the whole corpus,0.67,0.69,0.67,0.67
143,72,K-Nearest Neighbors (K=1),,Frequency of Ans in corpus corrections,0.67,0.69,0.68,0.67
144,70,XGBoost,,Frequency of Ans in corpus corrections,0.67,0.67,0.64,0.71
145,69,XGBoost,,Frequency of d misuses instead of Ans in corpus,0.67,0.68,0.65,0.7
146,81,Logistic Regression,,Frequency of Ans in corpus corrections,0.66,0.66,0.63,0.7
147,83,Logistic Regression,,Word2Vec vector of Ans,0.66,0.66,0.64,0.69
148,82,Decision Tree,,Word2Vec vector of Ans,0.66,0.68,0.66,0.66
149,80,Logistic Regression,,Frequency of d misuses instead of Ans in corpus,0.66,0.68,0.66,0.67
150,79,AdaBoost,,Word2Vec vector of Ans,0.66,0.68,0.65,0.68
151,78,K-Nearest Neighbors (K=1),,BERT vector of [MASK] token in place of the error span,0.66,0.67,0.65,0.68
152,84,K-Nearest Neighbors (K=3),,Frequency of Ans in corpus corrections,0.65,0.67,0.66,0.65
153,85,Logistic Regression,,BERT vector of [MASK] token in place of the error span,0.65,0.66,0.63,0.68
154,86,Decision Tree,,Averaged BERT vector of S with gap replaced by Ans,0.65,0.65,0.62,0.68
155,87,SVM,,Frequency of Ans in corpus corrections,0.65,0.56,0.52,0.86
156,88,AdaBoost,,BERT vector of [MASK] token in place of the error span,0.65,0.68,0.67,0.62
157,91,AdaBoost,,Frequency of Ans in corpus corrections,0.64,0.67,0.66,0.62
158,89,Ridge Regression,,BERT vector of [MASK] token in place of the error span,0.64,0.64,0.6,0.69
159,90,Ridge Regression,,Frequency of d misuses instead of Ans in corpus,0.64,0.64,0.61,0.68
160,92,Decision Tree,,Frequency of d in the whole corpus,0.64,0.66,0.64,0.63
161,93,K-Nearest Neighbors (K=4),,Frequency of d in the whole corpus,0.64,0.7,0.74,0.56
162,103,K-Nearest Neighbors (K=4),,Word2Vec vector of d,0.63,0.67,0.69,0.57
163,102,K-Nearest Neighbors (K=4),,Word2Vec vector of Ans,0.63,0.67,0.69,0.57
164,100,K-Nearest Neighbors (K=4),,Frequency of Ans in corpus corrections,0.63,0.7,0.75,0.54
165,104,K-Nearest Neighbors (K=4),,Averaged BERT vector of S with gap replaced by Ans,0.63,0.68,0.69,0.57
166,105,Decision Tree,,Word2Vec vector of d,0.63,0.63,0.6,0.65
167,101,K-Nearest Neighbors (K=4),,Frequency of d misuses instead of Ans in corpus,0.63,0.68,0.69,0.58
168,98,Ridge Regression,,Word2Vec vector of Ans,0.63,0.63,0.6,0.66
169,99,Ridge Regression,,Averaged BERT vector of S with gap replaced by Ans,0.63,0.64,0.62,0.63
170,95,Ridge Regression,,Frequency of Ans in corpus corrections,0.63,0.63,0.6,0.67
171,94,Ridge Regression,,Frequency of d in the whole corpus,0.63,0.63,0.61,0.66
172,97,Ridge Regression,,Frequency of Ans in the whole corpus,0.63,0.63,0.6,0.67
173,96,Decision Tree,,Frequency of Ans in the whole corpus,0.63,0.63,0.61,0.65
174,106,AdaBoost,,Word2Vec vector of d,0.62,0.65,0.64,0.61
175,107,K-Nearest Neighbors (K=4),,Frequency of Ans in the whole corpus,0.62,0.68,0.72,0.55
176,108,Decision Tree,,BERT vector of [MASK] token in place of the error span,0.61,0.64,0.63,0.59
177,109,Logistic Regression,,Word2Vec vector of d,0.61,0.61,0.59,0.62
178,111,Naive Bayesian Classifier,,BERT vector of [MASK] token in place of the error span,0.6,0.61,0.59,0.62
179,112,K-Nearest Neighbors (K=2),,Frequency of Ans in corpus corrections,0.6,0.68,0.75,0.5
180,110,K-Nearest Neighbors (K=4),,BERT vector of [MASK] token in place of the error span,0.6,0.66,0.68,0.54
181,113,K-Nearest Neighbors (K=2),,Frequency of d in the whole corpus,0.59,0.68,0.77,0.48
182,114,Decision Tree,,Frequency of d misuses instead of Ans in corpus,0.59,0.61,0.6,0.58
183,119,K-Nearest Neighbors (K=2),,Word2Vec vector of d,0.58,0.67,0.73,0.49
184,122,Naive Bayesian Classifier,,Averaged BERT vector of S with gap replaced by Ans,0.58,0.58,0.55,0.61
185,121,K-Nearest Neighbors (K=2),,Word2Vec vector of Ans,0.58,0.67,0.73,0.48
186,120,K-Nearest Neighbors (K=2),,Frequency of Ans in the whole corpus,0.58,0.67,0.73,0.48
187,118,K-Nearest Neighbors (K=2),,Frequency of d misuses instead of Ans in corpus,0.58,0.67,0.73,0.49
188,117,SVM,,BERT vector of [MASK] token in place of the error span,0.58,0.59,0.57,0.6
189,116,Naive Bayesian Classifier,,Frequency of Ans in the whole corpus,0.58,0.57,0.54,0.64
190,115,Naive Bayesian Classifier,,Frequency of Ans in corpus corrections,0.58,0.57,0.54,0.64
191,123,K-Nearest Neighbors (K=2),,Averaged BERT vector of S with gap replaced by Ans,0.57,0.66,0.72,0.48
192,124,SVM,,Word2Vec vector of Ans,0.57,0.55,0.52,0.62
193,125,Naive Bayesian Classifier,,Frequency of d in the whole corpus,0.56,0.57,0.55,0.57
194,126,Naive Bayesian Classifier,,Frequency of d misuses instead of Ans in corpus,0.56,0.56,0.54,0.57
195,127,K-Nearest Neighbors (K=2),,BERT vector of [MASK] token in place of the error span,0.55,0.65,0.7,0.46
196,128,Naive Bayesian Classifier,,Word2Vec vector of Ans,0.55,0.58,0.56,0.54
197,129,Naive Bayesian Classifier,,Word2Vec vector of d,0.55,0.58,0.56,0.54
198,130,Ridge Regression,,Word2Vec vector of d,0.55,0.56,0.54,0.55
199,131,SVM,,Frequency of Ans in the whole corpus,0.35,0.58,0.67,0.24
200,132,SVM,,Word2Vec vector of d,0.33,0.57,0.64,0.22
201,133,SVM,,Frequency of d in the whole corpus,0.31,0.56,0.63,0.21
202,134,SVM,,Frequency of d misuses instead of Ans in corpus,0.16,0.55,0.7,0.09
203,135,SVM,,Averaged BERT vector of S with gap replaced by Ans,0.09,0.53,0.56,0.05
